rawword,sora,aya
يؤمنون,2,6
بمؤمنين,2,8
مستهزئون,2,14
خاسئين,2,65
تؤمرون,2,68
يؤمنون,2,88
مؤمنين,2,91
مؤمنين,2,93
للمؤمنين,2,97
يؤمنون,2,100
أليم,2,104
أجمعين,2,161
الأسباب,2,166
أليم,2,174
أليم,2,178
الألباب,2,197
الأمور,2,210
المؤمنين,2,223
مؤمنين,2,248
الألباب,2,269
أنصار,2,270
أثيم,2,276
مؤمنين,2,278
والإنجيل,3,3
السماء,3,5
الألباب,3,7
الأبصار,3,13
المآب,3,14
بالأسحار,3,17
أليم,3,21
الدعاء,3,38
يشاء,3,40
والإبكار,3,41
والإنجيل,3,48
مؤمنين,3,49
وأطيعون,3,50
المؤمنين,3,68
أليم,3,77
أجمعين,3,87
الأمور,3,109
المؤمنون,3,122
خائبين,3,127
مؤمنين,3,139
المؤمنين,3,152
المؤمنون,3,160
المؤمنين,3,166
المؤمنين,3,171
مؤمنين,3,175
أليم,3,177
الأمور,3,186
أليم,3,188
الألباب,3,190
أنصار,3,192
الأبرار,3,193
للأبرار,3,198
مريئا,4,4
أليما,4,18
تأويلا,4,59
أثيما,4,107
أليما,4,138
أليما,4,161
المؤمنون,5,11
مؤمنين,5,23
أليم,5,36
بالمؤمنين,5,43
مؤمنين,5,57
أنصار,5,72
أليم,5,73
يؤفكون,5,75
مؤمنون,5,88
أليم,5,94
الآثمين,5,106
مؤمنين,5,112
يستهزئون,6,5
آخرين,6,6
يستهزئون,6,10
يؤمنون,6,12
يؤمنون,6,20
الأولين,6,25
المؤمنين,6,27
الآفلين,6,76
تؤفكون,6,95
يؤمنون,6,99
يؤمنون,6,109
مؤمنين,6,118
يؤمنون,6,125
آخرين,6,133
أجمعين,6,149
يؤمنون,6,154
للمؤمنين,7,2
قائلون,7,4
غائبين,7,7
أجمعين,7,18
يؤمنون,7,27
يؤمنون,7,52
أمين,7,68
مؤمنين,7,72
أليم,7,73
مؤمنون,7,75
مؤمنين,7,85
نائمون,7,97
إسرائيل,7,105
تأمرون,7,110
يأفكون,7,117
أجمعين,7,124
بمؤمنين,7,132
إسرائيل,7,134
المؤمنين,7,143
يؤمنون,7,156
خاسئين,7,166
يؤمنون,7,185
يؤمنون,7,188
يؤمنون,7,203
مؤمنين,8,1
الأقدام,8,11
الأدبار,8,15
المؤمنين,8,19
الأولين,8,31
أليم,8,32
الأولين,8,38
الأمور,8,44
يؤمنون,8,55
الخائنين,8,58
وبالمؤمنين,8,62
المؤمنين,8,64
أليم,9,3
مؤمنين,9,13
مؤمنين,9,14
الفائزون,9,20
يؤفكون,9,30
أليم,9,34
المؤمنون,9,51
أليم,9,61
مؤمنين,9,62
تستهزئون,9,65
أليم,9,79
أليم,9,90
المؤمنين,9,112
يؤمنون,10,33
تؤفكون,10,34
للمؤمنين,10,57
بمؤمنين,10,78
المؤمنين,10,87
الأليم,10,88
يؤمنون,10,96
الأليم,10,97
مؤمنين,10,99
يؤمنون,10,101
المؤمنين,10,103
المؤمنين,10,104
يستهزئون,11,8
يؤمنون,11,17
الأخسرون,11,22
أليم,11,26
أليم,11,48
بمؤمنين,11,53
أنيب,11,88
أجمعين,11,119
للمؤمنين,11,120
للسائلين,12,7
أليم,12,25
الخاطئين,12,29
فأرسلون,12,45
تأكلون,12,47
الخائنين,12,52
أمين,12,54
لخاطئين,12,91
أجمعين,12,93
خاطئين,12,97
آمنين,12,99
بمؤمنين,12,103
يؤمنون,12,111
يؤمنون,13,1
والآصال,13,15
الأمثال,13,17
الألباب,13,19
أناب,13,27
مآب,13,29
مآب,13,36
المؤمنون,14,11
أليم,14,22
السماء,14,24
يشاء,14,27
الأنهار,14,32
الأصنام,14,35
السماء,14,38
الدعاء,14,39
دعاء,14,40
الأبصار,14,42
هواء,14,43
الأمثال,14,45
الأصفاد,14,49
الألباب,14,52
يستأخرون,15,5
الأولين,15,10
يستهزئون,15,11
الأولين,15,13
المستأخرين,15,24
أجمعون,15,30
أجمعين,15,39
أجمعين,15,43
آمنين,15,46
الأليم,15,50
إبراهيم,15,51
أجمعين,15,59
تؤمرون,15,65
للمؤمنين,15,77
آمنين,15,82
للمؤمنين,15,88
أجمعين,15,92
المستهزئين,15,95
تأكلون,16,5
أجمعين,16,9
الأولين,16,24
يستهزئون,16,34
يؤمرون,16,50
تجأرون,16,53
أليم,16,63
يؤمنون,16,64
يؤمنون,16,79
أليم,16,104
أليم,16,117
أليما,17,10
مسئولا,17,34
تأويلا,17,35
مسئولا,17,36
يئوسا,17,83
أبدا,18,3
أسفا,18,6
أمدا,18,12
أحدا,18,19
